language,variant,particles,theta,rms_relative,p95_relative,rms_threshold,p95_threshold,passed
cpp,v3,10000,0.1,0.000803211281,0.00241477767,1,2,true
rust,v3,10000,0.1,0.000803211283,0.00241477767,1,2,true
cpp,v3,10000,0.2,0.00393203831,0.0115824041,1,2,true
rust,v3,10000,0.2,0.0039320383,0.0115824041,1,2,true
cpp,v3,10000,0.3,0.00995933506,0.0287653806,1,2,true
rust,v3,10000,0.3,0.00995933507,0.0287653806,1,2,true
cpp,v3,10000,0.5,0.0331665,0.0930677392,1,2,true
rust,v3,10000,0.5,0.0331665,0.0930677389,1,2,true
cpp,v3,10000,0.7,0.0756682902,0.213142286,1,2,true
rust,v3,10000,0.7,0.0756682902,0.213142286,1,2,true
