run_id,started_utc,language,variant,repeat,particles,measured_frames,warmup_frames,theta,seed,requested_threads,effective_threads,input,tree_ms_per_frame,force_update_ms_per_frame,cleanup_ms_per_frame,total_ms_per_frame,total_run_ms,version,commit,log
run,2026-08-26T07:53:38Z,cpp,v2,1,100000,5,2,0.3,1337,16,1,results/manuscript/v1.1.2/fig2/input_100000_seed1337.txt,44.231440,557.655860,14.939580,616.826880000,3084.134400,1.1.2,c270e2c0ecc91c1153ec0fc4d0a440ff1e38dcb0,results/manuscript/v1.1.2/fig2/run/logs/cpp_v2_1.log
run,2026-08-26T07:53:43Z,cpp,v2,2,100000,5,2,0.3,1337,16,1,results/manuscript/v1.1.2/fig2/input_100000_seed1337.txt,41.801940,598.514280,14.479000,654.795220000,3273.976100,1.1.2,c270e2c0ecc91c1153ec0fc4d0a440ff1e38dcb0,results/manuscript/v1.1.2/fig2/run/logs/cpp_v2_2.log
run,2026-08-26T07:53:49Z,cpp,v2,3,100000,5,2,0.3,1337,16,1,results/manuscript/v1.1.2/fig2/input_100000_seed1337.txt,45.683880,594.462820,18.624900,658.771600000,3293.858000,1.1.2,c270e2c0ecc91c1153ec0fc4d0a440ff1e38dcb0,results/manuscript/v1.1.2/fig2/run/logs/cpp_v2_3.log
run,2026-08-26T07:53:55Z,cpp,v2,4,100000,5,2,0.3,1337,16,1,results/manuscript/v1.1.2/fig2/input_100000_seed1337.txt,46.193280,623.888020,19.160440,689.241740000,3446.208700,1.1.2,c270e2c0ecc91c1153ec0fc4d0a440ff1e38dcb0,results/manuscript/v1.1.2/fig2/run/logs/cpp_v2_4.log
run,2026-08-26T07:54:01Z,cpp,v2,5,100000,5,2,0.3,1337,16,1,results/manuscript/v1.1.2/fig2/input_100000_seed1337.txt,46.460460,597.701280,18.401100,662.562840000,3312.814200,1.1.2,c270e2c0ecc91c1153ec0fc4d0a440ff1e38dcb0,results/manuscript/v1.1.2/fig2/run/logs/cpp_v2_5.log
run,2026-08-26T07:54:07Z,cpp,v2,6,100000,5,2,0.3,1337,16,1,results/manuscript/v1.1.2/fig2/input_100000_seed1337.txt,49.885640,625.143400,24.303940,699.332980000,3496.664900,1.1.2,c270e2c0ecc91c1153ec0fc4d0a440ff1e38dcb0,results/manuscript/v1.1.2/fig2/run/logs/cpp_v2_6.log
run,2026-08-26T07:54:13Z,cpp,v2,7,100000,5,2,0.3,1337,16,1,results/manuscript/v1.1.2/fig2/input_100000_seed1337.txt,38.299580,490.105480,11.272160,539.677220000,2698.386100,1.1.2,c270e2c0ecc91c1153ec0fc4d0a440ff1e38dcb0,results/manuscript/v1.1.2/fig2/run/logs/cpp_v2_7.log
run,2026-08-26T07:54:18Z,cpp,v2,8,100000,5,2,0.3,1337,16,1,results/manuscript/v1.1.2/fig2/input_100000_seed1337.txt,38.786340,480.017180,11.944560,530.748080000,2653.740400,1.1.2,c270e2c0ecc91c1153ec0fc4d0a440ff1e38dcb0,results/manuscript/v1.1.2/fig2/run/logs/cpp_v2_8.log
run,2026-08-26T07:54:23Z,cpp,v2,9,100000,5,2,0.3,1337,16,1,results/manuscript/v1.1.2/fig2/input_100000_seed1337.txt,42.697860,500.405420,14.850100,557.953380000,2789.766900,1.1.2,c270e2c0ecc91c1153ec0fc4d0a440ff1e38dcb0,results/manuscript/v1.1.2/fig2/run/logs/cpp_v2_9.log
run,2026-08-26T07:54:29Z,cpp,v2,10,100000,5,2,0.3,1337,16,1,results/manuscript/v1.1.2/fig2/input_100000_seed1337.txt,39.147400,468.691760,11.105900,518.945060000,2594.725300,1.1.2,c270e2c0ecc91c1153ec0fc4d0a440ff1e38dcb0,results/manuscript/v1.1.2/fig2/run/logs/cpp_v2_10.log
run,2026-08-26T07:54:34Z,cpp,v3,1,100000,5,2,0.3,1337,16,1,results/manuscript/v1.1.2/fig2/input_100000_seed1337.txt,17.001840,430.796860,0.000000,447.798700000,2238.993500,1.1.2,c270e2c0ecc91c1153ec0fc4d0a440ff1e38dcb0,results/manuscript/v1.1.2/fig2/run/logs/cpp_v3_1.log
