language,variant,particles,measured_frames,warmup_frames,theta,seed,effective_threads,runs,tree_ms_per_frame_mean,tree_ms_per_frame_sd,force_update_ms_per_frame_mean,force_update_ms_per_frame_sd,cleanup_ms_per_frame_mean,cleanup_ms_per_frame_sd,total_ms_per_frame_mean,total_ms_per_frame_sd,total_run_ms_mean,total_run_ms_sd
cpp,v3,1000000,3,1,0.3,1337,1,5,363.887653200,35.750654427,7135.888133400,193.472106877,0.000000000,0.000000000,7499.775786667,224.479858392,22499.327360000,673.439575174
cpp,v4,1000000,3,1,0.3,1337,1,5,391.279940000,14.397971228,7020.280806600,242.976962514,0.000000000,0.000000000,7411.560746667,251.564662362,22234.682240000,754.693987085
cpp,v5,1000000,3,1,0.3,1337,16,5,396.094113400,28.821791974,580.303900000,30.224241564,0.000000000,0.000000000,976.398013333,54.124426217,2929.194040000,162.373278651
rust,v3,1000000,3,1,0.3,1337,1,5,377.951480000,21.423697663,7855.913260000,130.248482409,0.000000000,0.000000000,8233.864746667,151.366025968,24701.594240000,454.098077903
rust,v4,1000000,3,1,0.3,1337,1,5,457.404100000,16.136592819,7345.098840000,161.258239438,0.000000000,0.000000000,7802.502940000,168.180045744,23407.508820000,504.540137231
rust,v5,1000000,3,1,0.3,1337,16,5,488.814520000,15.486602456,618.056820000,26.661755106,0.000000000,0.000000000,1106.871326667,38.006403000,3320.613980000,114.019209002
cpp,v3,2000000,3,1,0.3,1337,1,5,858.323140200,53.446286602,16480.300100000,566.382219739,0.000000000,0.000000000,17338.623240000,610.937847663,52015.869720000,1832.813542988
cpp,v4,2000000,3,1,0.3,1337,1,5,977.285806600,42.057899102,17179.538620000,918.367544501,0.000000000,0.000000000,18156.824426667,952.594159340,54470.473280000,2857.782478019
cpp,v5,2000000,3,1,0.3,1337,16,5,1038.549800000,58.966397470,1526.596440000,70.308399372,0.000000000,0.000000000,2565.146240000,126.279033792,7695.438720000,378.837101378
rust,v3,2000000,3,1,0.3,1337,1,5,1015.454320000,87.909394338,19651.515800000,907.104803387,0.000000000,0.000000000,20666.970140000,960.738849326,62000.910420000,2882.216547978
rust,v4,2000000,3,1,0.3,1337,1,5,1176.405980000,33.538252033,18696.794160000,396.303854941,0.000000000,0.000000000,19873.200133333,404.525075148,59619.600400000,1213.575225444
rust,v5,2000000,3,1,0.3,1337,16,5,1151.200660000,39.015827922,1461.943460000,24.759248712,0.000000000,0.000000000,2613.144146667,49.555612528,7839.432440000,148.666837584
cpp,v3,5000000,3,1,0.3,1337,1,5,2754.437040000,63.466867192,52289.771933400,488.792610623,0.000000000,0.000000000,55044.208973334,528.876366810,165132.626920000,1586.629100431
cpp,v4,5000000,3,1,0.3,1337,1,5,2967.486579800,161.118847329,53055.762906600,2148.765236557,0.000000000,0.000000000,56023.249486667,2285.118449065,168069.748460000,6855.355347195
cpp,v5,5000000,3,1,0.3,1337,16,5,3076.997466400,149.856507672,4683.664579800,212.175667237,0.000000000,0.000000000,7760.662046667,349.353838780,23281.986140000,1048.061516340
rust,v3,5000000,3,1,0.3,1337,1,5,2879.386000000,91.588713577,56973.246460000,1683.745178615,0.000000000,0.000000000,59852.632460000,1759.528651894,179557.897380000,5278.585955681
rust,v4,5000000,3,1,0.3,1337,1,5,3294.819980000,127.735777451,53842.309980000,1968.545229218,0.000000000,0.000000000,57137.129960000,2078.612559621,171411.389880000,6235.837678862
rust,v5,5000000,3,1,0.3,1337,16,5,3331.635520000,74.782832864,4713.133380000,207.906346979,0.000000000,0.000000000,8044.768906667,269.885547640,24134.306720000,809.656642922
