index,acc_x,acc_y
0,1.28886008,0.213519156
1,0.496600211,-1.26727891
2,-1.27385557,0.596903741
3,1.9453913,0.12788552
4,1.55396593,-1.23733199
5,-0.103580922,0.446514308
6,-0.79672581,2.22229576
7,1.81625855,2.31206536
8,-1.05493128,0.0207804888
9,0.51560533,-1.2041415
10,-0.0944829583,0.311030358
11,-0.716673613,1.10372102
12,0.752011061,-1.33585167
13,-0.215386733,0.885540724
14,0.226663202,0.644129872
15,0.232786402,0.333390802
16,1.6813097,-0.556462944
17,-1.66252387,-1.71397126
18,-1.24424195,1.06138873
19,-0.130256563,0.18669185
20,-2.78113461,-0.623900473
21,0.344214469,-0.102281794
22,0.523448467,1.24446964
23,-0.739007533,0.0748645216
24,0.620642602,0.330534965
25,-0.032062009,-0.520430505
26,0.577685654,0.101604722
27,0.441769779,0.839746177
28,-0.844457924,-0.321464986
29,-0.445327997,0.169491425
30,-0.531010449,0.137728989
31,0.939260244,1.82877684
32,2.10536647,1.14678383
33,-0.166502774,0.699489951
34,-0.0362308063,-1.36197591
35,-0.478039056,0.25485152
36,-1.21114528,-0.77374202
37,-2.80366588,0.756446481
38,0.0313121453,-0.153826371
39,0.317718834,-0.127816021
40,1.65977097,0.169759586
41,0.340479612,1.60641241
42,-0.693411946,0.561592817
43,-0.0641425699,-1.2835381
44,1.15531015,0.376476169
45,-1.83339059,-1.10455847
46,-0.0166643579,0.223143488
47,0.310068637,0.481957585
48,2.10721087,-1.70421612
49,-2.30879498,2.08491755
50,1.00640881,-0.470127583
51,-1.58652306,1.06178629
52,2.60664082,0.112799756
53,-0.720471501,-0.297875762
54,0.687303722,-0.895813882
55,0.147555694,-0.193019092
56,-0.384386748,1.59140575
57,-1.13412464,-0.548035383
58,-0.131788835,1.77297103
59,1.82249641,0.129328579
60,1.40051746,0.0503278337
61,1.44770038,0.866541922
62,0.801458776,-0.217403263
63,2.16891098,-0.908292234
64,-1.53626812,0.540260732
65,-0.329723597,-0.47993961
66,0.436348408,0.166827992
67,-0.288345158,-0.228726268
68,0.780105114,-0.0625492409
69,0.256218165,0.600786805
70,1.88104701,-1.30183852
71,-0.750825822,1.04431355
72,-0.977038801,1.73981214
73,0.22384657,0.664072454
74,-0.36875397,-2.61267328
75,1.99866951,-1.93948424
76,-1.04696655,-0.950145364
77,-4.38940144,0.214045227
78,1.0519495,0.369054407
79,-1.78494477,-2.09375858
80,-1.27274132,-1.67989647
81,-0.762515247,-0.157328919
82,-0.480340302,-0.782775462
83,0.403984278,-0.0525626242
84,0.157901332,-0.0543990508
85,-1.40553856,-1.05816197
86,-1.24288809,1.60492802
87,2.69410992,-2.62239194
88,0.964900732,-2.29025888
89,-3.55465293,-2.40688658
90,0.542420208,-0.536395967
91,-1.48020744,-2.51360416
92,-0.540146112,0.744113207
93,-0.10587284,0.664181948
94,-1.52719355,1.5962429
95,2.72054982,-1.47017062
96,-0.30639109,0.230210274
97,0.953502536,0.98857975
98,1.11811709,0.567732573
99,0.252051234,0.107263289
100,-1.24266982,4.11993551
101,-1.07725537,-0.324478775
102,-1.51786113,0.402300358
103,-0.816577435,2.57601118
104,0.340869278,-0.0618797392
105,-0.0339600965,0.0704951584
106,0.326809108,0.235977754
107,-0.267415822,0.708047032
108,0.376578569,1.36965656
109,-0.744743705,-0.332710266
110,1.75689149,-0.0844103247
111,1.49431825,1.92939126
112,-1.64998972,0.478058159
113,2.24108386,1.99901068
114,1.7576766,-1.73607624
115,-0.702410042,-0.477729797
116,-0.110634364,1.88188708
117,-1.47040391,-1.00192714
118,-0.250772536,0.217693284
119,1.24404562,-0.463157892
120,-0.111396492,0.513815761
121,1.55260289,2.4339571
122,-1.25567818,1.67261636
123,-1.90901113,-1.60725629
124,0.602715969,-1.0276705
125,1.33677804,1.71739471
126,-3.61945009,0.622221172
127,-0.216463923,-1.87481892
128,-2.70458055,-1.47932243
129,0.132192492,-1.19589317
130,-0.4055264,-1.44828415
131,0.105352677,1.75446773
132,1.2586323,0.204021037
133,0.527246296,0.242110163
134,0.353138566,0.256089717
135,-0.312235624,0.0466590114
136,-0.645285487,-0.300188541
137,-1.84478533,1.52864003
138,-0.316785216,0.198345959
139,1.09524179,0.377913803
