index,acc_x,acc_y
0,1.26988184,0.194475785
1,0.472646177,-1.23669958
2,-1.26090145,0.60491395
3,1.93070722,0.127700016
4,1.53788984,-1.22620535
5,-0.0834057406,0.430333495
6,-0.775541604,2.21209908
7,1.8029778,2.32309866
8,-1.03712344,0.00978435669
9,0.490200728,-1.20400977
10,-0.093303144,0.305524826
11,-0.713992715,1.09614193
12,0.741064787,-1.32472479
13,-0.213454008,0.873357117
14,0.213574484,0.629799783
15,0.230804473,0.330106944
16,1.67056227,-0.547687829
17,-1.6671809,-1.70669174
18,-1.22380126,1.05683351
19,-0.129470974,0.185173854
20,-2.75888252,-0.6216501
21,0.341295838,-0.1010805
22,0.517429173,1.22339404
23,-0.729112804,0.0771846473
24,0.615251899,0.324536592
25,-0.0270321146,-0.508989036
26,0.551737309,0.106948361
27,0.436834902,0.827688694
28,-0.839467227,-0.331357092
29,-0.441813231,0.170475885
30,-0.524614275,0.135815367
31,0.935064256,1.82086313
32,2.09110117,1.13408375
33,-0.161825731,0.691666722
34,-0.0401799083,-1.35156524
35,-0.474324226,0.254696995
36,-1.20683479,-0.793212056
37,-2.78695679,0.760100663
38,0.0311671719,-0.152252868
39,0.31462869,-0.12748377
40,1.63524759,0.175219804
41,0.340859741,1.61551285
42,-0.688195527,0.557560265
43,-0.0617079139,-1.26465201
44,1.14470911,0.379434019
45,-1.82853365,-1.09411883
46,-0.0162213184,0.220669478
47,0.308900088,0.478533
48,2.10041261,-1.68556964
49,-2.33207512,2.07831073
50,0.990003884,-0.45979166
51,-1.56420004,1.04932463
52,2.58428597,0.113444038
53,-0.711917162,-0.292452037
54,0.678924024,-0.884944379
55,0.145689681,-0.191052049
56,-0.370754778,1.58423352
57,-1.12428606,-0.534607053
58,-0.122670047,1.76638889
59,1.81570435,0.129406407
60,1.37337959,0.0746138617
61,1.4295342,0.862378299
62,0.793689728,-0.217357323
63,2.14753056,-0.880967319
64,-1.50802636,0.53497839
65,-0.32636705,-0.476026922
66,0.42661193,0.162121162
67,-0.286089122,-0.216804579
68,0.774061799,-0.0653453916
69,0.239583701,0.590249479
70,1.84677184,-1.30812442
71,-0.770302236,1.0214771
72,-0.975204766,1.72939634
73,0.220787629,0.65869838
74,-0.366149724,-2.6029377
75,1.99167514,-1.92185366
76,-1.04572284,-0.932718933
77,-4.36119699,0.214666009
78,1.04333603,0.368822426
79,-1.76734912,-2.08827901
80,-1.30424011,-1.70491683
81,-0.757758439,-0.143109933
82,-0.502953589,-0.776881516
83,0.399741679,-0.0517209098
84,0.156680822,-0.0540610515
85,-1.40131569,-1.04732275
86,-1.23396003,1.61528373
87,2.69492364,-2.62056661
88,0.951897442,-2.25930882
89,-3.520432,-2.4015255
90,0.537939191,-0.53119117
91,-1.45058882,-2.50831819
92,-0.534690797,0.736988246
93,-0.106149755,0.656760991
94,-1.52069962,1.57969713
95,2.71229315,-1.46197236
96,-0.302501649,0.227251157
97,0.95491749,0.973749816
98,1.11403978,0.561038852
99,0.249091789,0.106626198
100,-1.2352668,4.11602736
101,-1.06700218,-0.324357003
102,-1.51581705,0.394956708
103,-0.8371889,2.54773068
104,0.333443791,-0.052877441
105,-0.0317034908,0.0689005852
106,0.326583296,0.2330679
107,-0.265188724,0.69051981
108,0.373337805,1.35860777
109,-0.735624373,-0.327460378
110,1.74035311,-0.102891661
111,1.49653661,1.93120563
112,-1.64324641,0.481173396
113,2.22751069,1.99934614
114,1.74424374,-1.73067117
115,-0.694095254,-0.46203512
116,-0.11463666,1.86561453
117,-1.46478093,-0.993623018
118,-0.24265413,0.214576289
119,1.22864306,-0.463094622
120,-0.116945229,0.500944793
121,1.54942095,2.41951132
122,-1.26392782,1.66280723
123,-1.89568019,-1.59632504
124,0.595802188,-1.01757419
125,1.33519173,1.69773996
126,-3.60052609,0.632605076
127,-0.209679186,-1.86390412
128,-2.69179296,-1.47197533
129,0.130458474,-1.1877557
130,-0.361375779,-1.46426141
131,0.0992978811,1.73483205
132,1.25153041,0.196268469
133,0.523905635,0.24352926
134,0.348958731,0.25308454
135,-0.308418602,0.0469411016
136,-0.636704326,-0.300370246
137,-1.88465989,1.51747036
138,-0.322445422,0.20014143
139,1.08841527,0.369146287
140,-1.26117826,0.89903903
141,-0.862241209,0.240484893
142,-0.163231447,-0.113715947
143,-1.45382094,0.227760509
144,3.55139923,-2.59622335
145,0.103377782,0.427791327
146,-0.670656145,-0.209133103
147,-1.07712269,-1.21345186
148,-1.1904062,-0.291608065
149,0.924054086,-1.3872565
150,-0.094950065,-0.720336497
151,-0.128221974,-0.663773596
152,0.19758746,0.740741372
153,-0.213352039,1.3918668
154,1.02232742,-0.911023498
155,-0.781321883,1.0810287
156,-1.16819489,-0.0431836136
157,-0.738736212,-0.459010571
158,1.63281453,-1.30240965
159,-0.587479889,-1.159706
160,-0.0422639437,-1.24159896
161,-0.353847116,-0.31228745
162,1.81010604,-0.296810001
163,-0.0791843235,1.35481548
164,-0.26329875,-1.59376371
165,-0.511936009,-0.0877093673
166,2.28205395,-1.17892838
167,0.794061303,1.07552052
168,-1.96330702,1.85452616
169,2.66001225,-0.948846042
170,0.826443255,0.751387894
171,-0.869798183,0.995932996
172,-0.853391767,1.0273695
173,0.683092475,0.748480439
174,-0.836623013,-2.13413405
175,-0.990070581,-1.25891638
176,1.75926971,0.158930689
177,-0.49854213,0.590252519
178,-0.413270533,-0.727467358
179,-2.05058289,-1.59717619
180,2.05052471,0.44351092
181,-1.17445266,-0.833300412
182,-0.34432289,-0.675368071
183,1.18648267,1.2260412
184,1.30117607,0.268967837
185,1.89254284,-0.623015642
186,0.240911916,-0.460784942
187,1.973719,1.43638289
188,0.655788362,-0.0220794231
189,1.2095232,-0.486106247
190,0.752289772,0.0997930393
191,-0.88767767,0.473588794
192,-0.877866864,-0.419436365
193,0.015530752,-1.5279609
194,1.34414709,1.45854938
195,2.30846977,-1.38815403
196,0.689165115,-0.293480754
197,-0.57187295,-0.364577949
198,0.499257326,-0.664910078
199,-2.49357653,-0.727031529
200,1.75727868,-0.0365439989
201,-0.471713275,0.248198465
202,0.362173945,0.28424868
203,0.316827893,-0.963135839
204,0.141464055,-1.42836475
205,0.618933558,-0.252390325
206,1.03572154,-0.0289467685
207,-2.1841073,-1.34570575
208,0.279454887,-0.533938766
209,-1.23321128,-1.50725985
210,-0.508655846,0.734042704
211,0.361883968,-1.01771235
212,-0.251168758,-0.655122757
213,-0.63225013,-0.244357795
214,-0.925253034,0.161767736
215,0.655733526,-0.916776657
216,-2.03860903,-0.124803729
217,1.96288252,-3.8046174
218,-0.249198213,0.0778374448
219,-2.40588546,-0.71284759
220,1.99011278,-0.995704591
221,-0.205453187,0.323055774
222,1.64761496,-0.217035338
223,2.6599195,0.473164976
224,-3.91864347,-2.69728684
225,-1.51473498,-1.15809357
226,2.87650657,-0.326108247
227,1.66544402,0.760085464
228,0.174383432,1.18044662
229,-0.853109717,0.95085609
230,-0.119733833,2.14664316
231,-0.00882880017,-1.85453129
232,2.26404023,1.67380035
233,-3.0674448,0.367265344
234,1.80046487,-2.02288651
235,1.20030713,2.50547719
236,0.849753976,0.979014277
237,-0.54387331,-3.55888247
238,0.783155441,0.368132085
239,1.01263177,0.0463483445
240,-0.773972988,1.35199904
241,-1.47034824,0.138833597
242,0.291033387,-0.589860976
243,-0.547356486,1.3826189
244,-1.18449104,0.734925091
245,-1.3856914,-0.529543757
246,0.0649201274,-0.251139998
247,-0.416615725,0.0212232564
248,-0.721829653,0.592371821
249,1.16212666,0.983353674
250,0.565950453,1.74122405
251,1.13966274,-0.295553476
