run_id,started_utc,language,variant,repeat,order_seed,block_position,particles,measured_frames,warmup_frames,theta,seed,requested_threads,effective_threads,input,tree_ms_per_frame,force_update_ms_per_frame,cleanup_ms_per_frame,total_ms_per_frame,total_run_ms,version,commit,log
n_5000000,2026-08-26T20:18:18Z,cpp,v5,1,20260826,1,5000000,3,1,0.3,1337,0,16,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,2949.714767,5483.059333,0.000000,8432.774100000,25298.322300,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/cpp_v5_1.log
n_5000000,2026-08-26T20:19:51Z,rust,v5,1,20260826,2,5000000,3,1,0.3,1337,0,16,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,3404.7179,5896.1281,0.0000,9300.845966667,27902.5379,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/rust_v5_1.log
n_5000000,2026-08-26T20:20:30Z,cpp,v4,1,20260826,3,5000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,3174.952667,67530.649433,0.000000,70705.602100000,212116.806300,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/cpp_v4_1.log
n_5000000,2026-08-26T20:26:12Z,cpp,v3,1,20260826,4,5000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,2650.612433,64725.959567,0.000000,67376.572000000,202129.716000,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/cpp_v3_1.log
n_5000000,2026-08-26T20:31:39Z,rust,v3,1,20260826,5,5000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,2926.3803,77297.0678,0.0000,80223.448066667,240670.3442,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/rust_v3_1.log
n_5000000,2026-08-26T20:37:03Z,rust,v4,1,20260826,6,5000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,3417.9754,64199.6942,0.0000,67617.669566667,202853.0087,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/rust_v4_1.log
n_5000000,2026-08-26T20:41:36Z,rust,v3,2,20260826,1,5000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,2899.8793,76475.3685,0.0000,79375.247800000,238125.7434,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/rust_v3_2.log
n_5000000,2026-08-26T20:46:56Z,cpp,v3,2,20260826,2,5000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,2949.238400,70664.527400,0.000000,73613.765800000,220841.297400,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/cpp_v3_2.log
n_5000000,2026-08-26T20:52:50Z,rust,v5,2,20260826,3,5000000,3,1,0.3,1337,0,16,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,3346.8644,5866.7182,0.0000,9213.582633333,27640.7479,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/rust_v5_2.log
n_5000000,2026-08-26T20:53:30Z,cpp,v5,2,20260826,4,5000000,3,1,0.3,1337,0,16,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,3060.260767,5637.020767,0.000000,8697.281533333,26091.844600,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/cpp_v5_2.log
n_5000000,2026-08-26T20:55:03Z,rust,v4,2,20260826,5,5000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,3379.4120,64318.9977,0.0000,67698.409700000,203095.2291,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/rust_v4_2.log
n_5000000,2026-08-26T20:59:37Z,cpp,v4,2,20260826,6,5000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,3166.494133,67023.909000,0.000000,70190.403133333,210571.209400,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/cpp_v4_2.log
n_5000000,2026-08-26T21:05:16Z,rust,v3,3,20260826,1,5000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,2910.0178,77779.3962,0.0000,80689.414066667,242068.2422,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/rust_v3_3.log
n_5000000,2026-08-26T21:10:42Z,cpp,v5,3,20260826,2,5000000,3,1,0.3,1337,0,16,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,2945.307733,5511.556233,0.000000,8456.863966667,25370.591900,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/cpp_v5_3.log
n_5000000,2026-08-26T21:12:14Z,cpp,v4,3,20260826,3,5000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,2938.491567,61939.685367,0.000000,64878.176933333,194634.530800,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/cpp_v4_3.log
n_5000000,2026-08-26T21:17:33Z,cpp,v3,3,20260826,4,5000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,2960.070333,71145.541467,0.000000,74105.611800000,222316.835400,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/cpp_v3_3.log
n_5000000,2026-08-26T21:23:29Z,rust,v5,3,20260826,5,5000000,3,1,0.3,1337,0,16,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,3437.4129,5989.1158,0.0000,9426.528766667,28279.5863,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/rust_v5_3.log
n_5000000,2026-08-26T21:24:09Z,rust,v4,3,20260826,6,5000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,3421.4129,64244.7737,0.0000,67666.186533333,202998.5596,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/rust_v4_3.log
n_5000000,2026-08-26T21:28:42Z,cpp,v3,4,20260826,1,5000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,2765.379633,67302.531300,0.000000,70067.910933333,210203.732800,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/cpp_v3_4.log
n_5000000,2026-08-26T21:34:22Z,cpp,v4,4,20260826,2,5000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,2970.846467,62464.174600,0.000000,65435.021066667,196305.063200,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/cpp_v4_4.log
n_5000000,2026-08-26T21:39:42Z,rust,v5,4,20260826,3,5000000,3,1,0.3,1337,0,16,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,3387.3564,5902.7651,0.0000,9290.121466667,27870.3644,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/rust_v5_4.log
n_5000000,2026-08-26T21:40:22Z,cpp,v5,4,20260826,4,5000000,3,1,0.3,1337,0,16,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,3194.691867,5821.975333,0.000000,9016.667200000,27050.001600,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/cpp_v5_4.log
n_5000000,2026-08-26T21:41:57Z,rust,v3,4,20260826,5,5000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,2914.8016,77437.0520,0.0000,80351.853600000,241055.5608,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/rust_v3_4.log
n_5000000,2026-08-26T21:47:21Z,rust,v4,4,20260826,6,5000000,3,1,0.3,1337,0,1,results/manuscript/v1.1.3/fig3/input_5000000_seed1337.txt,3336.9857,63124.0685,0.0000,66461.054133333,199383.1624,1.1.3,ab17547228b0f7440793c9014bfda41d076a239e,results/manuscript/v1.1.3/fig3/n_5000000/logs/rust_v4_4.log
